-344,1088
1998,104
-850,-1234
891,1188
345,-1205
66,1172
1061,-590
-992,-936
287,411
-2099,450
1178,-177
-1861,-273
-1501,2156
4595,-788
-821,199
-4349,-1046
725,-215
1455,-2338
-1134,-3385
-3118,1161
-2034,3524
-31,-5763
-2962,-1837
4613,201
1590,1296
-382,152
-2222,-3254
2523,268
2266,-2980
738,1204
-4675,236
-1924,960
3375,4297
400,4527
275,-283
-1317,5447
4638,4343
-404,3542
4799,334
1401,-2966
1386,4306
-3881,-983
3609,5211
-2352,-1760
2654,-1952
1842,1991
-5322,31
-1438,-1419
4470,4855
-3392,-4530
2203,-4715
2967,2046
-4065,-1506
693,83
-6070,346
8254,-2014
4015,-2166
259,-1262
1454,-2298
4089,915
-2860,-8026
4101,4668
4357,-1377
-5382,-1176
2486,-5404
-7440,3161
-926,-5304
-2518,-159
-4899,-5016
-1783,-2247
-1920,1297
-5616,1792
-1859,-3770
-1589,-1572
-2689,-4497
-4134,-3303
-1938,-5169
-4776,271
-674,3524
3730,-4493
-1355,577
-3119,5596
-4288,4874
-2569,-462
-3112,1440
6932,-2336
4004,12322
4962,-3313
-5578,-2573
11595,1398
828,230
2318,11071
1797,2425
3252,1194
6906,2180
-3861,-2544
9160,10339
597,-2227
-1431,-2762
4032,2292
2057,-2546
5704,-1701
-2628,-1204
-4290,3808
1407,1748
-2441,-989
829,7139
1880,-4830
3197,-5450
6667,-9501
-476,8136
1143,-8200
-954,-3287
-8575,-1812
1213,5624
272,1644
-2795,918
-110,-2312
2470,2537
-5761,-2032
5715,-1623
-7688,16743
3591,-3755
734,-15059
-64,4554
-6203,711
-2908,9288
-6156,3923
-6617,-1613
1239,1568
-14468,1838
-10941,5304
-6705,698
-9709,6200
3706,-4776
-5343,3184
-3791,5157
-4163,5501
2203,-2772
8402,-4696
8671,48
-2209,2952
5470,-4266
9328,2141
5085,10427
11310,1787
4484,-2429
3587,-434
2498,-3159
1455,19043
8897,-2579
3296,-1521
-3464,2908
-1557,-4378
1759,-3790
-3600,5653
-7608,5232
5705,-4913
1326,749
-3460,-5746
480,-6721
-4896,-7538
-1492,-11118
-2849,-8479
8479,-1426
-2462,-4906
-5299,-58
5800,-7901
-5214,3531
-848,159
-5155,-1250
14579,7667
2379,-3683
3503,-6926
-2827,-654
1006,7568
-3259,-4666
-20,4133
-3452,-5669
-7273,-748
-9727,2499
-8916,-8611
-1863,6997
-3219,-2082
-13098,-2873
3201,-5409
-9071,-165
-6530,-536
-3207,13878
2887,-777
3691,5600
2245,6225
2042,4707
7783,-3791
4516,17298
-3941,-5454
-1146,4538
2703,3799
-2445,3230
4289,12725
4188,-4589
8131,9255
12843,9877
-2603,-1241
9031,-7200
4737,-1233
10179,438
-960,-15357
-5018,1176
-839,-2015
5128,3054
3993,-1277
-2184,769
-8454,-2993
-8916,-10836
-2497,-683
-2371,-604
6144,562
-11087,-4138
-6200,5293
12031,-16965
-1021,-3884
-566,-4016
-9896,-6395
-1796,1438
-2573,-6576
-1008,-1239
2544,3758
-3675,-9553
-7729,810
-1424,-10153
-4830,5282
-850,3629
5092,5092
-168,-5483
-3387,2396
-3729,7499
-11157,11751
-2065,-185
-5625,4119
-3148,5986
-2322,6123
-9502,12383
-6110,-5403
10466,-4789
-4661,492
-6909,-6025
-2748,14947
797,-2223
-115,-8503
5559,9403
5892,-13882
3045,10741
5319,2149
-6342,6162
166207,0
-6342,-6162
5319,-2149
3045,-10741
5892,13882
5559,-9403
-115,8503
797,2223
-2748,-14947
-6909,6025
-4661,-492
10466,4789
-6110,5403
-9502,-12383
-2322,-6123
-3148,-5986
-5625,-4119
-2065,185
-11157,-11751
-3729,-7499
-3387,-2396
-168,5483
5092,-5092
-850,-3629
-4830,-5282
-1424,10153
-7729,-810
-3675,9553
2544,-3758
-1008,1239
-2573,6576
-1796,-1438
-9896,6395
-566,4016
-1021,3884
12031,16965
-6200,-5293
-11087,4138
6144,-562
-2371,604
-2497,683
-8916,10836
-8454,2993
-2184,-769
3993,1277
5128,-3054
-839,2015
-5018,-1176
-960,15357
10179,-438
4737,1233
9031,7200
-2603,1241
12843,-9877
8131,-9255
4188,4589
4289,-12725
-2445,-3230
2703,-3799
-1146,-4538
-3941,5454
4516,-17298
7783,3791
2042,-4707
2245,-6225
3691,-5600
2887,777
-3207,-13878
-6530,536
-9071,165
3201,5409
-13098,2873
-3219,2082
-1863,-6997
-8916,8611
-9727,-2499
-7273,748
-3452,5669
-20,-4133
-3259,4666
1006,-7568
-2827,654
3503,6926
2379,3683
14579,-7667
-5155,1250
-848,-159
-5214,-3531
5800,7901
-5299,58
-2462,4906
8479,1426
-2849,8479
-1492,11118
-4896,7538
480,6721
-3460,5746
1326,-749
5705,4913
-7608,-5232
-3600,-5653
1759,3790
-1557,4378
-3464,-2908
3296,1521
8897,2579
1455,-19043
2498,3159
3587,434
4484,2429
11310,-1787
5085,-10427
9328,-2141
5470,4266
-2209,-2952
8671,-48
8402,4696
2203,2772
-4163,-5501
-3791,-5157
-5343,-3184
3706,4776
-9709,-6200
-6705,-698
-10941,-5304
-14468,-1838
1239,-1568
-6617,1613
-6156,-3923
-2908,-9288
-6203,-711
-64,-4554
734,15059
3591,3755
-7688,-16743
5715,1623
-5761,2032
2470,-2537
-110,2312
-2795,-918
272,-1644
1213,-5624
-8575,1812
-954,3287
1143,8200
-476,-8136
6667,9501
3197,5450
1880,4830
829,-7139
-2441,989
1407,-1748
-4290,-3808
-2628,1204
5704,1701
2057,2546
4032,-2292
-1431,2762
597,2227
9160,-10339
-3861,2544
6906,-2180
3252,-1194
1797,-2425
2318,-11071
828,-230
11595,-1398
-5578,2573
4962,3313
4004,-12322
6932,2336
-3112,-1440
-2569,462
-4288,-4874
-3119,-5596
-1355,-577
3730,4493
-674,-3524
-4776,-271
-1938,5169
-4134,3303
-2689,4497
-1589,1572
-1859,3770
-5616,-1792
-1920,-1297
-1783,2247
-4899,5016
-2518,159
-926,5304
-7440,-3161
2486,5404
-5382,1176
4357,1377
4101,-4668
-2860,8026
4089,-915
1454,2298
259,1262
4015,2166
8254,2014
-6070,-346
693,-83
-4065,1506
2967,-2046
2203,4715
-3392,4530
4470,-4855
-1438,1419
-5322,-31
1842,-1991
2654,1952
-2352,1760
3609,-5211
-3881,983
1386,-4306
1401,2966
4799,-334
-404,-3542
4638,-4343
-1317,-5447
275,283
400,-4527
3375,-4297
-1924,-960
-4675,-236
738,-1204
2266,2980
2523,-268
-2222,3254
-382,-152
1590,-1296
4613,-201
-2962,1837
-31,5763
-2034,-3524
-3118,-1161
-1134,3385
1455,2338
725,215
-4349,1046
-821,-199
4595,788
-1501,-2156
-1861,273
1178,177
-2099,-450
287,-411
-992,936
1061,590
66,-1172
345,1205
891,-1188
-850,1234
1998,-104
-344,-1088
